code;location;registered;envelopes;valid;-;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
506761;Alojzov;205;145;144;0;32;0;0;0;1;17;6;0;29;0;1;0;0;1;0;5;0;1;4;15;5;18;9;0;0
589268;Bedihošť;834;527;524;0;140;1;0;0;0;123;26;0;51;0;2;1;0;0;0;13;1;14;2;82;6;34;28;0;0
589284;Biskupice;238;132;131;0;34;0;0;0;0;24;10;0;14;0;1;0;2;0;0;5;0;1;2;19;0;10;9;0;0
589292;Bohuslavice;376;236;236;0;53;0;0;1;0;22;39;1;20;0;4;0;0;3;1;3;0;6;3;36;4;17;23;0;0
589306;Bousín;107;67;67;0;10;0;0;0;0;14;9;0;5;0;2;0;0;0;0;3;0;0;0;11;2;7;4;0;0
589331;Březsko;178;111;111;0;36;0;0;0;0;3;17;0;9;0;3;0;1;0;0;6;0;1;0;13;2;10;9;0;1
589349;Budětsko;331;208;206;0;58;0;0;0;0;22;32;0;6;1;3;0;1;2;1;6;2;2;1;35;3;7;24;0;0
589357;Buková;264;170;169;0;35;0;0;1;0;33;25;0;16;1;0;0;0;0;0;3;0;3;2;15;2;14;19;0;0
589365;Čehovice;426;281;280;0;80;0;0;0;3;42;13;0;16;0;7;0;0;1;1;8;0;5;5;44;10;18;27;0;0
589381;Čechy pod Kosířem;814;512;512;0;140;0;0;0;3;79;47;0;25;0;7;1;2;0;0;20;0;6;7;70;7;31;66;0;1
589390;Čelčice;437;272;272;0;74;0;0;0;1;46;15;1;21;0;0;1;0;1;1;10;1;3;5;49;2;18;23;0;0
589420;Dětkovice;427;284;281;0;82;1;0;0;1;47;36;0;19;2;4;0;0;0;0;6;0;4;2;25;2;38;12;0;0
589438;Dobrochov;270;172;170;0;51;0;0;0;0;13;17;0;13;0;2;1;0;0;1;7;0;3;5;25;5;13;14;0;0
589446;Dobromilice;629;308;308;0;95;0;4;1;0;42;36;0;9;0;0;0;0;0;1;14;2;1;1;68;0;10;22;2;0
589454;Doloplazy;459;244;244;0;71;0;0;0;1;37;8;0;24;1;0;0;0;2;0;5;0;3;2;56;0;12;20;1;1
589462;Drahany;443;290;287;0;70;0;0;0;1;44;17;0;11;1;6;0;0;1;2;28;0;6;2;51;9;9;29;0;0
558419;Držovice;1139;748;742;0;275;0;0;0;5;45;38;9;78;4;6;3;0;1;2;40;7;5;4;102;15;60;42;0;1
589489;Dřevnovice;380;220;219;0;68;0;0;0;0;28;32;0;6;0;1;0;0;0;0;4;0;0;1;38;2;24;15;0;0
589497;Dzbel;209;133;133;0;50;0;0;0;0;22;24;0;2;0;1;0;0;2;0;5;0;1;0;8;0;6;11;0;1
549967;Hačky;83;67;65;0;12;0;1;0;0;0;18;0;4;0;0;1;1;3;0;4;2;3;0;5;1;0;10;0;0
589501;Hluchov;292;174;173;0;61;0;0;0;1;25;9;0;9;0;0;0;0;0;0;4;0;6;5;36;1;7;9;0;0
589535;Hrdibořice;178;109;109;0;27;0;0;0;0;22;5;0;12;0;0;0;0;0;0;2;1;3;1;20;3;10;3;0;0
589543;Hrubčice;617;376;374;0;129;0;0;0;3;44;28;0;35;0;4;0;0;2;0;14;2;4;0;41;9;35;24;0;0
543543;Hruška;191;90;88;0;33;0;0;0;1;18;6;0;3;0;0;0;0;0;0;4;0;0;0;17;1;4;1;0;0
589578;Ivaň;390;238;237;0;63;0;0;0;0;36;23;0;32;0;3;0;0;1;0;1;2;0;1;44;9;15;7;0;0
589586;Jesenec;246;139;139;0;43;0;0;0;2;14;16;2;6;3;4;0;0;0;0;4;0;0;0;24;5;5;9;0;2
589594;Kladky;289;140;140;0;30;0;0;0;1;17;24;2;7;0;3;0;0;1;0;2;1;2;0;17;3;9;17;1;3
589608;Klenovice na Hané;654;355;354;0;125;1;0;1;0;61;29;0;13;0;0;1;0;0;0;7;6;5;1;52;2;31;17;0;2
589616;Klopotovice;238;165;165;0;39;1;0;0;0;33;17;1;6;1;0;0;0;1;0;5;0;0;3;27;1;10;20;0;0
589641;Koválovice-Osíčany;232;152;151;0;33;0;0;0;0;25;30;0;4;0;0;1;0;0;4;3;0;3;1;27;1;5;14;0;0
589659;Kralice na Hané;1257;807;804;0;250;2;2;1;6;57;60;0;96;2;9;2;0;1;1;39;7;4;5;116;19;69;53;2;1
589667;Krumsín;465;284;284;0;64;1;0;0;0;34;52;0;22;2;0;1;0;0;0;8;1;0;1;42;4;22;30;0;0
589683;Lešany;320;196;194;0;69;0;0;0;3;17;16;0;22;1;2;0;2;1;0;2;1;5;7;24;0;11;10;0;1
589713;Malé Hradisko;309;185;185;0;38;0;3;0;0;23;27;0;18;2;1;0;0;0;0;13;2;0;3;28;1;7;19;0;0
589721;Mořice;422;226;223;0;66;0;0;0;0;39;13;0;8;1;2;0;0;0;0;22;0;1;2;39;1;9;20;0;0
589730;Mostkovice;1248;842;836;0;299;0;1;1;4;59;49;2;98;3;2;0;0;0;1;23;8;3;7;141;21;58;55;0;1
589764;Nezamyslice;1140;619;615;0;205;1;0;0;3;58;57;1;51;0;6;0;1;0;0;27;0;2;4;89;16;35;56;1;2
589772;Niva;257;160;160;0;41;0;0;0;1;32;12;0;6;0;1;0;0;0;0;7;0;2;1;21;0;10;26;0;0
589799;Obědkovice;207;95;94;0;30;0;0;0;1;17;5;0;3;0;1;0;0;0;0;1;0;2;0;23;4;1;6;0;0
589802;Ohrozim;370;267;266;0;56;1;0;0;3;18;51;0;30;0;1;1;0;0;2;10;1;3;0;40;8;21;20;0;0
589811;Ochoz;152;102;99;0;25;0;0;0;1;8;31;0;9;0;0;0;0;6;0;2;0;1;0;5;4;3;4;0;0
589837;Ondratice;289;173;171;0;36;0;1;0;0;28;30;1;9;2;5;0;0;0;0;4;1;2;0;28;2;12;10;0;0
589845;Otaslavice;1029;650;647;0;156;0;0;2;3;74;56;4;81;2;4;0;2;0;0;9;0;2;3;106;16;59;66;0;2
589853;Otinoves;229;144;143;0;40;0;0;0;2;17;25;0;3;0;0;0;0;2;0;3;0;0;0;18;5;20;8;0;0
557196;Pavlovice u Kojetína;232;135;134;0;44;0;0;0;0;21;12;0;4;0;1;0;0;1;0;11;1;1;0;19;1;6;12;0;0
589870;Pěnčín;594;352;349;0;113;0;2;1;1;37;41;0;18;1;2;1;0;2;1;12;1;3;2;68;4;15;22;0;2
589888;Pivín;565;382;381;0;118;0;0;0;1;24;64;1;19;0;3;1;0;1;0;23;0;5;1;77;10;20;13;0;0
549983;Polomí;124;78;78;0;15;0;0;0;0;11;12;0;2;2;1;0;0;1;0;3;0;6;0;8;2;3;12;0;0
589918;Prostějovičky;242;138;137;0;38;0;0;0;0;20;15;0;13;0;2;0;0;0;1;5;0;1;6;11;1;12;12;0;0
589926;Protivanov;805;549;547;0;144;1;0;0;2;52;101;0;45;10;4;1;0;1;1;15;0;5;2;68;5;31;59;0;0
589951;Raková u Konice;163;104;101;0;30;0;0;0;2;16;19;0;5;0;0;0;0;0;0;5;1;0;1;11;1;10;0;0;0
589969;Rakůvka;80;61;61;0;17;0;0;0;0;8;2;0;1;0;1;0;0;0;0;0;2;0;0;13;2;4;11;0;0
506770;Seloutky;410;288;287;0;87;0;0;0;0;33;30;0;34;0;2;0;0;0;0;6;0;3;3;32;9;29;19;0;0
589993;Skalka;212;131;131;0;31;0;0;0;0;20;17;0;7;1;1;0;0;0;0;7;0;1;1;20;4;14;7;0;0
590002;Skřípov;274;145;144;0;36;0;0;0;0;43;12;0;4;0;2;0;0;0;0;1;0;1;2;19;1;12;11;0;0
590011;Slatinky;453;314;313;0;87;0;0;0;0;30;27;0;32;0;0;1;0;0;0;16;0;2;7;29;23;44;15;0;0
590029;Smržice;1319;797;786;0;263;0;0;0;3;45;68;2;92;6;7;0;0;4;1;20;1;2;4;107;32;66;62;1;0
590045;Srbce;73;39;39;0;7;0;0;0;0;11;0;0;2;0;0;0;0;0;0;6;0;3;0;8;1;0;1;0;0
590061;Stínava;126;74;73;0;11;0;0;0;0;7;22;0;3;0;0;0;1;0;0;1;0;0;0;13;3;5;7;0;0
590070;Stražisko;345;222;220;0;83;0;0;0;0;25;30;0;3;0;1;0;0;0;0;4;0;2;1;34;2;14;20;0;1
590096;Šubířov;204;110;109;0;37;0;0;0;0;14;7;1;6;0;1;0;0;0;0;6;0;1;2;11;2;12;9;0;0
590100;Tištín;393;215;215;0;63;2;0;0;1;15;14;0;6;1;0;0;0;0;0;17;2;4;5;43;3;6;32;0;1
590118;Tvorovice;252;152;152;0;38;0;0;0;3;22;18;0;9;1;1;0;0;0;0;14;3;0;1;24;1;8;9;0;0
590134;Víceměřice;354;204;204;0;56;0;0;0;4;19;13;0;11;3;2;0;1;0;0;3;1;1;1;33;5;18;33;0;0
590142;Vícov;404;254;250;0;69;1;0;0;3;24;40;0;17;0;4;1;0;0;0;5;1;3;4;41;6;20;11;0;0
544710;Vincencov;109;80;80;0;15;0;0;0;0;5;17;0;3;0;0;0;0;0;1;5;0;1;1;15;3;9;5;0;0
590151;Vitčice;146;84;84;0;33;0;1;0;0;5;6;0;6;0;2;0;0;0;1;3;0;0;0;15;0;6;5;0;1
590193;Vrchoslavice;478;282;275;0;87;1;0;2;1;31;15;0;17;4;1;0;0;1;2;16;0;3;3;49;4;18;20;0;0
590207;Vřesovice;419;281;280;0;61;0;0;0;1;41;69;0;15;0;0;0;0;1;2;8;0;1;3;40;8;14;16;0;0
590215;Výšovice;399;266;263;0;69;1;2;0;1;25;21;1;28;1;1;0;1;1;0;2;0;3;3;41;16;21;25;0;0
590223;Zdětín;282;196;194;0;53;1;0;0;2;16;18;0;6;0;0;0;0;0;1;13;1;0;1;38;2;21;21;0;0
590240;Želeč;436;278;278;0;67;2;0;0;1;49;28;0;21;0;7;0;0;0;0;17;0;2;3;47;2;17;15;0;0
